token_id,image,Background,Skin Tone,Body Shape,Top,Eyebrows,Eye Style,Eye Color,Mouth,Hair (Front),Hair (Back),Hair Color,Hat,Necklace,Archetype of Power,Sun Sign,Moon Sign,Rising Sign,Will,Wisdom,Wonder,Woe,Wit,Wiles,Face Markings,Facewear,Hair Topper,Back Item,Earrings,Forehead Jewelry,Hair (Middle),Mask,Outerwear
12,https://cryptocoven.s3.amazonaws.com/cee1210791eb850906bde2df3e370624.png,Taupe,Day,Soft,Straps (Black),Thin Arched (Grey),Reverse Cateye,Opal,Pursed (Natural),High Pony,,Platinum,,,Seer,Capricorn,Sagittarius,Aries,9,9,4,4,4,5,,Jeweled Septum Ring (Blue),,,Dangly Bones (Bone),,,,
13,https://cryptocoven.s3.amazonaws.com/47418f2929fe4c0ee624375a695dc4be.png,Plum,Dusk,Chiseled,Mugler Slashed (Black),Bushy (Brown),Blank,Black,Plump (Natural),Curl Cloud,,Pink,Lined (Black),,Seer,Cancer,Leo,Aquarius,7,9,6,1,1,1,,,,,,,,,
14,https://cryptocoven.s3.amazonaws.com/09e077c04ed72a5520cea680b68f8b86.png,Peach,Day,Soft,Leather Neck Piece (Black),Thin Arched (Grey),Circle Lens,Lilac,Plump (Natural),Bald,,,,,Occultist,Capricorn,Leo,Sagittarius,0,7,1,3,9,9,Eye of Hinoto,,,,Dangly Bones (Bone),,,,
15,https://cryptocoven.s3.amazonaws.com/df20e55e3854610dfd426d85d60dc5d1.png,Taupe,Midnight,Soft,Mock Neck (Black),Bushy (White),Smudged,Gold,Medusa (Natural),Curl Cloud,,Pink,Witch,,Occultist,Pisces,Aries,Scorpio,0,5,7,8,8,8,,Sad Girl Tears,,Lily,,,,,
16,https://cryptocoven.s3.amazonaws.com/66b571dbf7ea9959160b3651a94f594d.png,Sea,Midnight,Lithe,Straps (Black),Round (Navy),Circle Lens,Green,Glossy Medusa (Natural),Pixie,,Warm Brown,,,Necromancer,Libra,Leo,Scorpio,4,7,2,9,8,0,,,,Lily,,,,,
17,https://cryptocoven.s3.amazonaws.com/6aad1e51c745c646e9aeee4a9eacdceb.png,Moss,Dawn,Chiseled,Straps (Black),Bushy (White),Circle Lens,Hazel,Dark Gloss (Dark),Keridwen,,Platinum,,,Mage,Scorpio,Taurus,Capricorn,2,5,9,5,2,3,,Scripted Octagon Glasses (Blue),Bat Wings,,,,,,
18,https://cryptocoven.s3.amazonaws.com/5f468b272f2589a3a6296a683329d20f.png,Sea,Twilight,Chiseled,Mugler Slashed (Black),Pencil (White),Reverse Cateye,Glo,Pursed (Red),Hair Wrap,,Black,,,Mage,Sagittarius,Capricorn,Leo,0,5,9,2,8,8,,,,,,,,,
19,https://cryptocoven.s3.amazonaws.com/2cc91f7d05d36023187d3573c267b5d3.png,Rust,Day,Soft,Sheer Striped (Black),Strong (Black),Babylash,Green,Pursed (Natural),Keridwen,,Pink,,Natural Dried Orange Stack (Natural),Hag,Pisces,Scorpio,Sagittarius,2,3,9,5,2,0,,,,Chinese Lantern,,,,,
20,https://cryptocoven.s3.amazonaws.com/e3a5eb985ffc9c2c3c3105b1a9c4ec80.png,Lavender,Twilight,Soft,Sheer Striped (Black),Medium Flat (Black),Babylash,Blue,Round (Dark),Bald,,,Young Floral Horns,Thread Necklace (Natural),Hag,Libra,Libra,Aries,0,3,8,7,8,7,,Labret (Silver),,,,,,,
21,https://cryptocoven.s3.amazonaws.com/006dcd25ae740519fde25f7bffa3d585.png,Plum,Dawn,Chiseled,Sheer Sleeves (Black),Medium Flat (Black),Babylash,Purple,Pursed (Red),Jeweled Turban,,Emerald,,Piercing Choker (Blue),Seer,Leo,Leo,Capricorn,4,5,2,3,3,2,,,,Chinese Lantern,,,,,
22,https://cryptocoven.s3.amazonaws.com/ad5ecf6e464b6e36827f18ea93c23b9c.png,Plum,Dusk,Lithe,Sheer Sleeves (Black),Strong (Black),Circle Lens,Pink,Bow (Red),Nyx,Cute Pigtails,Mauve,,Studded Collar (Silver),Enchantress,Virgo,Pisces,Pisces,5,8,8,8,9,2,,,,Chinese Lantern,,,,Butterfly (Gold),
23,https://cryptocoven.s3.amazonaws.com/dfb6de9322fe4189e6f9d4f817cca3bd.png,Pink,Twilight,Lithe,Sheer Striped (Black),Strong (Black),Smudged Monolid,Red,Glossy Medusa (Natural),High Pony,,Auburn,,,Mage,Virgo,Cancer,Sagittarius,0,4,8,9,4,2,,,,,,,,,
24,https://cryptocoven.s3.amazonaws.com/b22b0bb67efc0071567880111c30559e.png,Lavender,Dusk,Chiseled,Mugler Tailored (White),Round (Navy),Alert,Grey,Pursed (Red),High Pony,,Iridescent,,,Seer,Libra,Taurus,Sagittarius,3,6,8,0,6,7,,Simple Septum Ring (Silver),,Chinese Lantern,,,,,
25,https://cryptocoven.s3.amazonaws.com/376afcf596b6efd88c689272ece54a5b.png,Taupe,Night,Chiseled,Open Collar with Bow (White),Medium Flat (Black),Babylash,Green,Pursed (Red),Curtain,,Platinum,,,Hag,Pisces,Gemini,Gemini,8,3,4,5,8,3,,Simple Septum Ring (Silver),,,Basic Piercings (Silver),,,,
26,https://cryptocoven.s3.amazonaws.com/733510c554654384ae83d8c4d27d989d.png,Sea,Twilight,Lithe,Vivetta Hand Collar (Red),Arched (Brown),Smudged,Gold,Bow (Red),Bald,,,Witch,,Mage,Capricorn,Cancer,Pisces,2,3,2,6,8,3,,,,Lily,,,,,
27,https://cryptocoven.s3.amazonaws.com/3dc915a7957d00611c7c4164fbb3221c.png,Sea,Night,Lithe,Mugler Collarbone Cutout (Black),Thin Arched (Grey),Reverse Cateye,Glo,Glossy Medusa (Natural),Curtain,,Navy,Witch,Moon Necklace (Silver),Mage,Cancer,Libra,Sagittarius,2,0,7,5,6,7,Freckles,Scripted Octagon Glasses (Blue),,Chinese Lantern,,,,,
28,https://cryptocoven.s3.amazonaws.com/4bdb5b39df7e805cc4fa22c63ae0a37d.png,Sea,Sunset,Chiseled,Mugler Slashed (Black),Pencil (White),Circle Lens,Hazel,Full Pout (Beige),Curtain,,Silver,,,Mage,Virgo,Libra,Sagittarius,2,8,9,7,2,4,Mage Script Demonic (Green),,Bat Wings,Chinese Lantern,Basic Piercings (Silver),,,,
29,https://cryptocoven.s3.amazonaws.com/02d4670258746a9f3d631843015d826a.png,Pink,Twilight,Lithe,Mock Neck (Black),Thin Arched (Grey),Circle Lens,Bicolor Pink Turquoise,Steady Pout,Drill Curls,Soft Braid,Platinum,Lined (Black),Ethereum Thread (Natural),Hag,Pisces,Leo,Virgo,8,8,9,1,3,3,Mark of the Chained Moon (White),,,Chinese Lantern,Dangly Bones (Bone),,,,
30,https://cryptocoven.s3.amazonaws.com/b5c0b8107f3958555a624c4c3867b88f.png,Pink,Dawn,Lithe,Mock Neck (Black),Bushy (White),Circle Lens,Hazel,Glossy Medusa (Natural),Xuannu,,Pink,Lined (Black),,Hag,Aquarius,Sagittarius,Sagittarius,6,5,5,7,2,0,Cheek and Chin Mole,,,Chinese Lantern,,,,Butterfly (Rose Quartz),
31,https://cryptocoven.s3.amazonaws.com/b6de3d6d84344eeaa2c9984aa2923768.png,Sea,Night,Chiseled,Sheer Sleeves (Black),Strong (Black),Smudged,Green,Plump (Natural),Curl Cloud,,Lilac,Chic Disk (Black),,Necromancer,Libra,Aries,Gemini,4,5,6,5,0,0,Cheek and Chin Mole,Labret (Silver),,,,,,,
32,https://cryptocoven.s3.amazonaws.com/755a85ad1c12f7c0040ee3b4968e6592.png,Taupe,Dusk,Lithe,Shredded Top (Black),Strong (Black),Circle Lens,Lilac,Round (Dark),Bald,,,,,Occultist,Aquarius,Aquarius,Aries,3,4,3,9,5,3,,,,,,,,,
33,https://cryptocoven.s3.amazonaws.com/eb65ba64eb3921ec80715e3770f67972.png,Lavender,Twilight,Chiseled,Mugler Tailored (White),Medium Flat (Black),Circle Lens,Green,Plump (Natural),Aradia Short,,Ash,Mushroom,Ethereum Thread (Natural),Hag,Virgo,Gemini,Aries,7,4,7,2,7,2,Nose Bridge Scar,,,,,,,,
34,https://cryptocoven.s3.amazonaws.com/e94b791c24845ce43e1c8f436cc1a4a4.png,Lavender,Day,Chiseled,Mugler Slashed (Black),Thin Arched (Grey),Babylash,Green,Parted (Beige),Aradia Short,Cute Pigtails,Auburn,,,Hag,Capricorn,Gemini,Gemini,2,9,6,6,7,6,,,Jeweled Antlers,Lily,,,Cute Buns,,
35,https://cryptocoven.s3.amazonaws.com/d1d0b6cc3b95de9581fd5086bb460c0a.png,Pink,Dawn,Lithe,Mugler Tailored (Black),Thin Arched (Grey),Hypnotic,Pink,Witchy Pout (Black),Aradia Short,Cute Pigtails,Auburn,,Creepy Yeha Pearls (Pearl),Enchantress,Aries,Aquarius,Taurus,9,0,1,4,4,7,,,,,,Simple Circlet (Silver),,,
36,https://cryptocoven.s3.amazonaws.com/e5f1ec2015f8b34c8f5c52fb35be0a29.png,Lavender,Midnight,Chiseled,Mugler Tailored (Black),Pencil (White),Reverse Cateye,Glo,Parted (Beige),Aletheia,,Lavender,,,Occultist,Virgo,Virgo,Gemini,0,4,4,8,1,6,Daedra,,,,,,,,
37,https://cryptocoven.s3.amazonaws.com/1aaa29a3c1fd23ed47278b5e0306cb47.png,Lavender,Day,Lithe,Mugler Collarbone Cutout (Black),Pencil (White),Circle Lens,Green,Plump (Natural),High Pony,,Pink,,Chaotic Howl Stack (Eclectic),Hag,Pisces,Libra,Gemini,5,6,9,3,1,4,,,,,,,,,
38,https://cryptocoven.s3.amazonaws.com/14da543530c3e30213c24915b346caa3.png,Taupe,Night,Lithe,Shredded Top (Black),Pencil (White),Circle Lens,Bicolor Blue Gold,Round (Dark),Aletheia,Keridwen,Lavender,,,Occultist,Virgo,Scorpio,Pisces,4,5,1,5,4,4,Nose Bridge Scar,,,Lily,Howl Gems (Orange),,,,
39,https://cryptocoven.s3.amazonaws.com/b5662b12c220bcdbc18480b87c5aad84.png,Sea,Twilight,Soft,Mugler Collarbone Cutout (Black),Bushy (White),Babylash,Blue,Parted (Beige),Dramatic Swoop,Dramatic Swoop,Steel,,Studded Collar (Silver),Mage,Aquarius,Gemini,Scorpio,7,8,4,9,1,5,Mage Script Melovesmealot (Gold),,,,,,,,
40,https://cryptocoven.s3.amazonaws.com/ac205141d1e0189112a0802f298b2c83.png,Rust,Twilight,Soft,Mugler Collarbone Cutout (Black),Medium Flat (Black),Circle Lens,Green,Round (Dark),Curl Cloud,Flowy Pony,Lilac,,,Enchantress,Aries,Scorpio,Leo,2,2,1,7,9,3,,Sad Girl Tears,,Lily,,,,,
41,https://cryptocoven.s3.amazonaws.com/fb38e99bf70b61e4d8ad96e11285d682.png,Sea,Dawn,Lithe,Mugler Collarbone Cutout (Black),Arched (Brown),Sunset Almond,Red,Plump (Natural),Pixie,,Emerald,,Piercing Choker (Green),Seer,Aquarius,Gemini,Virgo,8,5,4,4,2,3,Cheek and Chin Mole,,,Lily,,,,,
42,https://cryptocoven.s3.amazonaws.com/f6f94dcbce8951fba452db7c589431fb.png,Pink,Day,Soft,Straps (Black),Medium Flat (Black),Babylash,Green,Pursed (Natural),Aradia Short,Keridwen,Lavender,,,Hag,Libra,Cancer,Scorpio,7,9,4,5,5,2,,,,,,,Cute Buns,Butterfly (Emerald),
43,https://cryptocoven.s3.amazonaws.com/8e030e7c874f6810286f95ab17b29e68.png,Lavender,Sunset,Chiseled,Mugler Slashed (Black),Thin Arched (Grey),Alert,Grey,Thin Smirk (Orange),Curl Cloud,,Auburn,Witch,Moon Necklace (Silver),Necromancer,Gemini,Pisces,Virgo,3,4,5,9,6,3,,Simple Septum Ring (Silver),,,,,,,
44,https://cryptocoven.s3.amazonaws.com/daace2297b5bf4eb61d1c9b2c865155c.png,Peach,Night,Lithe,Sheer Striped (Black),Thin Arched (Grey),Reverse Cateye,Opal,Round (Dark),Box Braids,Box Braid Pony,Black,Lined (Black),,Seer,Capricorn,Pisces,Gemini,5,7,7,4,4,3,,Simple Septum Ring (Silver),,Lily,,,,,
45,https://cryptocoven.s3.amazonaws.com/b6cdae3e021608cadc44eadbfc621f97.png,Plum,Dusk,Lithe,Open Collar with Bow (White),Round (Navy),Sunset Almond,Red,Thin Smirk,Pixie,,Warm Brown,Witch,,Mage,Pisces,Scorpio,Scorpio,8,1,3,6,3,4,Mage Script Demonic (Green),Simple Octagon Glasses (Silver),,Chinese Lantern,,,,,
46,https://cryptocoven.s3.amazonaws.com/798a36c169e50f104501cd5a4e106911.png,Rust,Night,Soft,Mugler Collarbone Cutout (Black),Strong (Black),Circle Lens,Pink,Parted (Black),Aletheia,Aradia,Lilac,Hoodlondon Hathor (Gold),,Enchantress,Pisces,Taurus,Cancer,2,3,6,3,9,8,Cheek Mole,,,Chinese Lantern,,,,,
47,https://cryptocoven.s3.amazonaws.com/b3ff6a15b4c1b44eb3851de1a4744907.png,Pink,Twilight,Soft,Sheer Striped (Black),Bushy (White),Sunset Almond,Red,Medusa (Natural),Aradia,,Lilac,Floral Lacewing,Studded Collar (Silver),Hag,Virgo,Cancer,Virgo,8,8,9,5,8,0,,,,Chinese Lantern,,,,,
48,https://cryptocoven.s3.amazonaws.com/c96af80c7d50ee4bc4cf1853d7d89ec9.png,Peach,Day,Soft,Mugler Collarbone Cutout (Black),Bushy (Brown),Reverse Cateye,Glo,Parted (Beige),Aradia,,Mermaid,Hoodlondon Hathor (Gold),,Seer,Virgo,Virgo,Virgo,9,9,5,0,6,2,Freckles,,,Lily,,,,,
49,https://cryptocoven.s3.amazonaws.com/9f28c229f976ceee5fc3fbdbf6b62ccc.png,Rust,Sunset,Soft,Sheer Striped (Black),Bushy (Brown),Reverse Cateye,Opal,Parted (Black),Box Braids,Bubble Braids,Black,,,Enchantress,Cancer,Gemini,Aquarius,5,0,4,3,6,9,,,Crown of Pearls,,,Ethereum Diadem (Silver),,,
50,https://cryptocoven.s3.amazonaws.com/c9b69d5d6974cf3da4421e11d94c1c5a.png,Sea,Night,Lithe,Sheer Sleeves (Black),Thin Arched (Grey),Clear Graphic,Grey,Thin Smirk,Aradia Short,,Navy,,,Seer,Leo,Taurus,Taurus,5,3,3,5,5,2,,Simple Septum Ring (Silver),,,,,Cute Buns,,
51,https://cryptocoven.s3.amazonaws.com/d069c2f6628c83e2a2e7c086325f4f1d.png,Sea,Day,Lithe,Sheer Sleeves (Black),Bushy (White),Babylash,Purple,Bow (Purple),Aletheia,Soft Braid,Steel,,,Necromancer,Scorpio,Libra,Capricorn,9,9,8,3,1,8,,,Aries Horns,,Dangly Bones (Bone),,,,
52,https://cryptocoven.s3.amazonaws.com/969f6f5ea25c76f67b76adc81b858bc7.png,Taupe,Twilight,Lithe,Mugler Collarbone Cutout (Black),Thin Arched (Grey),Babylash,Blue,Parted (Black),Curl Cloud,,Pink,Witch,,Enchantress,Sagittarius,Virgo,Aries,7,0,8,6,9,6,,,,Chinese Lantern,,,,,
53,https://cryptocoven.s3.amazonaws.com/a1dd4190ddba377c49e86a03f21626c8.png,Lavender,Dusk,Lithe,Filmy Edwardian (White),Round (Navy),Hooded Side,Gold,Thin Smirk,Miranda Priestly,,Auburn,,,Enchantress,Virgo,Pisces,Cancer,2,4,5,8,9,6,,,,,,,,Butterfly (Rose Quartz),
54,https://cryptocoven.s3.amazonaws.com/8b90c0b7a52e0467905f129407d6f3d2.png,Pink,Day,Chiseled,Mugler Slashed (Black),Round (Navy),Babylash,Purple,Full Pout (Beige),Cloudy Skies,Cloudy Skies,Cyan,,,Mage,Pisces,Gemini,Libra,4,2,3,2,0,0,,,,,,,,,
55,https://cryptocoven.s3.amazonaws.com/82849cb70bb534b526c0d49ad2aa5529.png,Rust,Night,Soft,Leather Neck Piece (Black),Thin Arched (Grey),Reverse Cateye,Glo,Pursed (Natural),Aradia Short,Wolf,Auburn,Witch,Chaotic Howl Stack (Eclectic),Occultist,Aries,Aries,Capricorn,8,5,8,6,9,7,Mark of the Mantis,Givenchy Nosering (Silver),,,,,,,
56,https://cryptocoven.s3.amazonaws.com/fd8e4f346d4ca6c1b94ba12efc05a6f8.png,Rust,Dusk,Lithe,Straps (Black),Bushy (White),Shadowed,Purple,Thin Smirk,Gelled Baby Hair,,Black,Witch,Creepy Yeha Pearls (Pearl),Enchantress,Libra,Aquarius,Aries,7,4,6,0,9,3,,,,Chinese Lantern,Basic Piercings (Silver),,,,
57,https://cryptocoven.s3.amazonaws.com/949426f61653e97ebe6af39783cc3f20.png,Pink,Night,Soft,Open Collar with Bow (Black),Strong (Black),Alert,Grey,Round (Dark),Box Braids,,Black,,,Mage,Leo,Cancer,Cancer,1,2,9,9,0,0,,Scripted Octagon Glasses (Blue),,,Basic Piercings (Silver),,,,
58,https://cryptocoven.s3.amazonaws.com/28be1df4ff155752374c7127ae96fdd1.png,Moss,Midnight,Chiseled,Sheer Sleeves (Black),Pencil (White),Smudged Snake,Gold,Thin Smirk (Orange),Curl Cloud,Flowing Pigtails,Navy,,,Mage,Virgo,Sagittarius,Aquarius,1,8,8,7,3,2,,Scripted Octagon Glasses (Purple),,,,,,,
59,https://cryptocoven.s3.amazonaws.com/e241dd874c7a3a2da3e7f935f10fb2e9.png,Pink,Twilight,Soft,Open Collar with Bow (White),Strong (Black),Babylash,Purple,Parted (Beige),Aradia,,Mermaid,Witch,,Seer,Pisces,Pisces,Pisces,8,9,7,4,3,8,Nose Bridge Scar,,,,,,,,
60,https://cryptocoven.s3.amazonaws.com/18c9364f38e0008d832214c6af0f16d9.png,Taupe,Day,Soft,Filmy Edwardian (White),Round (Navy),Circle Lens,Bicolor Pink Turquoise,Round (Dark),Jeweled Hood,Jeweled Hood,Desert,,,Enchantress,Capricorn,Sagittarius,Aries,3,0,8,3,4,4,,,,Chinese Lantern,,,,,
61,https://cryptocoven.s3.amazonaws.com/626281cb9457f1e15d61a764cfa12f1a.png,Taupe,Day,Soft,Sheer Striped (Black),Bushy (Brown),Circle Lens,Pink,Parted (Black),Xuannu,Xuannu,Mermaid,,,Enchantress,Aquarius,Scorpio,Aquarius,4,5,2,8,8,5,,,,Chinese Lantern,,Ethereum Diadem (Silver),,,
62,https://cryptocoven.s3.amazonaws.com/b7a183a47eb00438113f2587105d1cf9.png,Sea,Twilight,Soft,Moon Bow (Red),Pencil (White),Circle Lens,Lilac,Parted (Beige),Aradia Short,,Steel,,,Mage,Capricorn,Taurus,Taurus,3,8,4,4,3,7,,,,,,,,,
63,https://cryptocoven.s3.amazonaws.com/2904d1cb79efcf9ca1f6c4837466383e.png,Taupe,Day,Lithe,Mock Neck (Black),Round (Navy),Demon,Red,Glossy Medusa (Natural),Aletheia,,Ash,,,Necromancer,Scorpio,Capricorn,Aries,5,4,2,3,7,3,,,Bat Wings,,,,,,
64,https://cryptocoven.s3.amazonaws.com/268758d9310a564c0e9c47814b757cb8.png,Rust,Sunset,Soft,Sheer Striped (Black),Thin Arched (Grey),Babylash,Pink,Round (Dark),Gelled Baby Hair,,Black,,Chaotic Howl Stack (Eclectic),Occultist,Sagittarius,Sagittarius,Gemini,0,6,0,6,6,6,,Givenchy Nosering (Silver),,,,Demon Third Eye (Black),,,
65,https://cryptocoven.s3.amazonaws.com/d106a2e1d93f9ab557f7c7bf199fc33e.png,Pink,Night,Lithe,Mock Neck (Black),Thin Arched (Grey),Circle Lens,Pink,Parted (Black),Aletheia,Cute Pigtails,Ash,,,Occultist,Cancer,Pisces,Libra,3,1,4,6,7,9,,,,,,,Cute Buns,,
66,https://cryptocoven.s3.amazonaws.com/c95b56a31b9eeea0e0a5b1fc80082e5d.png,Taupe,Day,Soft,Sheer Striped (Black),Thin Arched (Grey),Babylash,Grey,Plump (Black),Hair Wrap,,Black,,Creepy Yeha Pearls (Pearl),Necromancer,Leo,Libra,Capricorn,6,9,3,8,5,3,,Jeweled Septum Ring (Blue),,Lily,Basic Piercings (Silver),,,,
67,https://cryptocoven.s3.amazonaws.com/51096a94bf4dd48c51cd0d07f5745baa.png,Pink,Night,Chiseled,Open Collar with Bow (White),Bushy (White),Alert,Grey,Plump (Natural),Curtain,Keridwen,Mermaid,,,Mage,Sagittarius,Virgo,Gemini,4,3,3,2,8,4,,,Bat Wings,Scripted Mage Aura (Blue),Basic Piercings (Silver),,,,
68,https://cryptocoven.s3.amazonaws.com/4ece8e31f132c1a9e5520dc42ec65b74.png,Peach,Day,Lithe,Mugler Tailored (Black),Bushy (Brown),Circle Lens,Hazel,Parted (Black),Xuannu,,Auburn,,,Enchantress,Aries,Sagittarius,Taurus,7,4,1,4,4,4,,Septum Ring (Turquoise),,Lily,,,,,
69,https://cryptocoven.s3.amazonaws.com/06e4e6fe3a0e8f9d8bd6cc679f01aee0.png,Peach,Sunset,Chiseled,Open Collar with Bow (White),Medium Flat (Black),Circle Lens,Pink,Full Pout (Beige),Bald,,,,,Hag,Cancer,Virgo,Aries,1,4,5,3,6,8,Moon Mark (White),Simple Octagon Glasses (Silver),Leafy Crown,Lily,Basic Piercings (Silver),,,,
70,https://cryptocoven.s3.amazonaws.com/e7e02e386376fb635ad2e9fab2a05879.png,Plum,Midnight,Lithe,Off Shoulder (Black),Bushy (Brown),Circle Lens,Lilac,Bow (Dusk),Aradia Short,Keridwen,Ash,,,Necromancer,Capricorn,Cancer,Aries,4,4,6,7,6,2,,,,Chinese Lantern,,,,,
71,https://cryptocoven.s3.amazonaws.com/673fda08e643e9d15f36abd9a3e02625.png,Lavender,Sunset,Lithe,Mugler Tailored (Black),Round (Navy),Circle Lens,Pink,Parted (Black),Box Braids,,Black,,Moon Necklace (Silver),Necromancer,Cancer,Taurus,Sagittarius,7,8,3,6,6,2,,,,,Basic Piercings (Silver),,,Graceful Bat,
72,https://cryptocoven.s3.amazonaws.com/d4b1c466ec483d72082a0cbd350220a1.png,Pink,Day,Lithe,Straps (Black),Strong (Black),Babylash,Purple,Round (Red),Miranda Priestly,Flowing Pigtails,Lilac,,,Mage,Pisces,Pisces,Libra,6,2,2,4,7,5,,,,,Dangly Bones (Bone),,Cute Buns,,
73,https://cryptocoven.s3.amazonaws.com/b072733791eb8f5defcb4cc679ec1b58.png,Taupe,Dusk,Soft,Sheer Striped (Black),Strong (Black),Circle Lens,Bicolor Pink Turquoise,Plump (Black),Bald,,,Arcane Stars (Black),,Hag,Leo,Gemini,Sagittarius,6,9,6,8,2,7,,Bridge Piercing,,,,,,,
74,https://cryptocoven.s3.amazonaws.com/f254db914bbf92242ebf51e3ac4e4014.png,Moss,Midnight,Lithe,Mugler Collarbone Cutout (Black),Bushy (White),Circle Lens,Grey Green,Plump (Natural),Gelled Baby Hair,,Black,,,Mage,Aquarius,Libra,Virgo,6,5,5,7,0,3,,,,Scripted Mage Aura (Gold),Dangly Bones (Bone),,,,
75,https://cryptocoven.s3.amazonaws.com/5fb31709006e69abc8bb0bd4689f7d6c.png,Taupe,Night,Chiseled,Sheer Striped (Black),Bushy (Brown),Circle Lens,Lilac,Dark Gloss (Dark),Xuannu,Calm Pigtails,Steel,,,Occultist,Sagittarius,Taurus,Aquarius,3,6,7,7,3,4,,Sad Girl Tears,,,Mandible Cuffs (Natural),Demon Third Eye (Black),Cute Buns,,
76,https://cryptocoven.s3.amazonaws.com/8f52bd96d0018be94d9dbddc6af49063.png,Moss,Twilight,Lithe,Sheer Striped (Black),Bushy (White),Circle Lens,Green,Thin Smirk,Hair Wrap,,Black,,,Mage,Virgo,Sagittarius,Gemini,4,2,5,9,8,2,,Scripted Octagon Glasses (Blue),,Mage Aura (Orange),,,,,
